rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0033.jpg,13.2,0.5068,0.4636,0.25,1.0,8,2,False,False
77,frame_0105.jpg,42.0,0.5059,0.6047,0.625,0.08,5,5,False,False
78,frame_0014.jpg,5.6,0.5049,0.3848,0.375,1.0,4,3,False,False
79,frame_0285.jpg,114.0,0.5046,0.5442,0.375,0.6,5,3,False,False
80,frame_0317.jpg,126.8,0.5004,0.6959,0.375,0.2,6,3,False,False
81,frame_0396.jpg,158.4,0.5,0.636,0.5,0.16,8,4,False,False
82,frame_0274.jpg,109.6,0.4996,0.6352,0.5,0.16,8,4,False,False
83,frame_0202.jpg,80.8,0.4986,0.6073,0.25,0.6,3,2,False,False
84,frame_0376.jpg,150.4,0.4955,0.7769,0.25,0.16,6,2,False,False
85,frame_0301.jpg,120.4,0.4937,0.5114,0.5,0.44,5,4,False,False
86,frame_0195.jpg,78.0,0.4927,0.7073,0.25,0.32,2,2,False,False
87,frame_0183.jpg,73.2,0.4917,0.7424,0.375,0.04,4,3,False,False
88,frame_0277.jpg,110.8,0.4854,0.5587,0.5,0.28,8,4,False,False
89,frame_0095.jpg,38.0,0.4825,0.601,0.5,0.16,8,4,False,False
90,frame_0295.jpg,118.0,0.4808,0.6146,0.125,0.68,6,1,False,False
91,frame_0377.jpg,150.8,0.4763,0.6797,0.375,0.12,9,3,False,False
92,frame_0024.jpg,9.6,0.4761,0.4771,0.125,1.0,2,1,False,False
93,frame_0004.jpg,1.6,0.4755,0.401,0.25,1.0,5,2,False,False
94,frame_0131.jpg,52.4,0.4751,0.4161,0.25,0.96,4,2,False,False
95,frame_0184.jpg,73.6,0.4744,0.6168,0.5,0.08,6,4,False,False
96,frame_0122.jpg,48.8,0.4738,0.5577,0.25,0.6,7,2,False,False
97,frame_0302.jpg,120.8,0.4702,0.6304,0.25,0.4,6,2,False,False
98,frame_0298.jpg,119.2,0.4634,0.4777,0.375,0.56,6,3,False,False
99,frame_0025.jpg,10.0,0.462,0.4489,0.125,1.0,2,1,False,False
100,frame_0175.jpg,70.0,0.4611,0.5102,0.5,0.28,6,4,False,False
101,frame_0091.jpg,36.4,0.4608,0.5686,0.375,0.32,3,3,False,False
102,frame_0287.jpg,114.8,0.4602,0.4983,0.25,0.68,5,2,False,False
103,frame_0332.jpg,132.8,0.4595,0.678,0.375,0.04,7,3,False,False
104,frame_0194.jpg,77.6,0.4586,0.6551,0.25,0.28,3,2,False,False
105,frame_0123.jpg,49.2,0.4583,0.5856,0.125,0.64,6,1,False,False
106,frame_0133.jpg,53.2,0.4582,0.3663,0.25,1.0,7,2,False,False
107,frame_0097.jpg,38.8,0.4579,0.5839,0.5,0.08,6,4,False,False
108,frame_0132.jpg,52.8,0.4577,0.3655,0.25,1.0,7,2,False,False
109,frame_0329.jpg,131.6,0.4571,0.7321,0.25,0.08,8,2,False,False
110,frame_0176.jpg,70.4,0.4568,0.5176,0.5,0.24,7,4,False,False
111,frame_0087.jpg,34.8,0.4561,0.4952,0.375,0.48,5,3,False,False
112,frame_0296.jpg,118.4,0.4553,0.5046,0.25,0.64,6,2,False,False
113,frame_0016.jpg,6.4,0.4537,0.3575,0.25,1.0,6,2,False,False
114,frame_0191.jpg,76.4,0.4518,0.8397,0.0,0.16,2,0,False,False
115,frame_0229.jpg,91.6,0.4476,0.5632,0.5,0.08,6,4,False,False
116,frame_0115.jpg,46.0,0.4468,0.6156,0.25,0.32,6,2,False,False
117,frame_0231.jpg,92.4,0.4462,0.6034,0.375,0.16,7,3,False,False
118,frame_0374.jpg,149.6,0.4395,0.574,0.375,0.2,7,3,False,False
119,frame_0113.jpg,45.2,0.437,0.4781,0.5,0.24,5,4,False,False
120,frame_0304.jpg,121.6,0.4367,0.5954,0.25,0.32,7,2,False,False
121,frame_0114.jpg,45.6,0.4346,0.4572,0.5,0.28,6,4,False,False
122,frame_0316.jpg,126.4,0.4334,0.5028,0.5,0.16,8,4,False,False
123,frame_0224.jpg,89.6,0.4329,0.8177,0.0,0.12,3,0,False,False
124,frame_0319.jpg,127.6,0.4328,0.3785,0.625,0.28,8,5,False,False
125,frame_0116.jpg,46.4,0.4306,0.4922,0.375,0.36,5,3,False,False
126,frame_0012.jpg,4.8,0.4305,0.3861,0.125,1.0,3,1,False,False
127,frame_0028.jpg,11.2,0.4301,0.3102,0.25,1.0,5,2,False,False
128,frame_0125.jpg,50.0,0.4293,0.4955,0.125,0.72,8,1,False,False
129,frame_0019.jpg,7.6,0.4289,0.3828,0.125,1.0,3,1,False,False
130,frame_0327.jpg,130.8,0.4285,0.616,0.375,0.04,8,3,False,False
131,frame_0090.jpg,36.0,0.4284,0.6379,0.125,0.36,3,1,False,False
132,frame_0179.jpg,71.6,0.4274,0.5819,0.375,0.12,3,3,False,False
